Name,Aria Speed,Bard Speed,Bolt Speed,Cad Speed,Dia Speed,Dor Speed,Dove Speed,Eli Speed,Mary Speed,Mel Speed,Monk Speed,Noc Speed,Tempo Speed,Coda Speed,Story Speed,9char Speed,13char Speed,Aria Score,Bard Score,Bolt Score,Cad Score,Dia Score,Dor Score,Dove Score,Eli Score,Mary Score,Mel Score,Monk Score,Noc Score,Tempo Score,Coda Score,Story Score,9char Score,13char Score,Influence
hokuhokureiha,1.13135,1.25616,1.16253,1.06070,1.11849,1.00000,1.11641,1.08842,1.07819,1.04962,1.07147,1.06637,1.02815,1.29761,1.06159,1.04716,1.07193,26566,341249,25260,34129,31678,30018,9961,18263,25592,27837,16595,39360,32365,9870,118540,401517,457977,1937.11272
Warachia,1.00000,1.22879,1.14622,1.07611,1.16402,1.09325,1.16517,1.09320,1.00000,1.07478,1.08967,1.00000,1.04608,1.44735,1.10690,1.11939,1.13201,20241,256018,19830,39426,34675,26176,7593,16981,23628,25834,15523,41577,33244,6649,90291,334865,190992,1823.82486
violet,1.01664,1.13598,1.17626,1.00000,1.18427,1.14628,1.25465,1.23521,1.14651,1.10837,1.11142,1.14720,1.14078,1.22801,1.12777,1.01219,1.45034,24679,388518,19896,50124,42172,36570,9502,15582,30717,26976,15898,45219,27071,8808,127880,497996,474839,1513.96842
Morraconda,1.12228,1.24603,1.06923,1.06273,1.00000,1.07434,1.00000,1.08349,1.02674,1.00000,1.02320,1.13577,1.03130,1.17130,1.03811,1.03562,2.21901,19237,109121,17946,32045,25387,2658,6666,16957,9919,25482,16351,19108,30424,4610,20224,36821,41804,1513.76949
AbuYazan,1.02726,1.40811,1.13188,1.00817,1.21702,1.09111,1.08716,1.10881,1.05450,1.05765,1.00000,1.02949,1.11512,1.32674,1.00000,1.00000,1.00000,9712,5686,14599,29799,4819,3670,2099,5335,4545,7047,4699,27304,5104,5189,28911,23232,40125,1396.61567
Spootaloo,1.17794,1.34602,1.19336,1.09714,1.12172,1.07388,1.09511,1.12017,1.11635,1.04635,1.03468,1.16005,1.07135,1.04102,1.06495,1.02134,1.15376,18091,6364,17351,29999,23226,3334,8272,3131,3482,27298,14003,0,4376,12835,13901,24341,28094,1266.28726
WasKi115,1.02660,1.00000,1.00855,1.05078,1.15979,1.02916,1.26778,1.03109,1.07389,1.09645,1.06897,1.01581,1.00000,1.25750,1.13598,1.20998,1.32441,4382,20032,6920,7613,3695,3345,2344,4212,3219,5465,7637,0,31990,7068,11910,23229,34094,1220.50012
Tufwfo,1.26636,1.38377,1.00000,1.09244,1.05852,1.12675,1.19232,1.30218,1.18326,1.13668,1.22534,1.18543,1.19246,1.49633,1.23021,1.16215,1.16423,18533,162476,35811,29125,24244,15969,4763,14218,24272,23551,13796,27461,21966,4200,89135,71939,103559,1029.34582
Siveure,1.17220,1.43596,1.31559,1.11818,1.12968,1.09315,1.28675,1.08468,1.22670,1.09264,1.07725,1.20680,1.15268,2.06433,1.03501,1.12063,1.08582,20961,268886,23854,30779,26741,18036,5939,16265,21160,25843,16454,31866,29637,5142,92995,229366,344874,1005.89242
Bgm,0.98059,1.36166,1.18176,1.11811,1.17880,1.01234,1.10471,1.19899,1.16900,1.08185,1.21961,1.22823,1.13253,2.97384,1.16936,1.39335,1.37483,4647,6172,5074,13073,4770,3158,307,4739,3513,4973,4911,8089,4072,3609,15356,20654,43124,878.07799
