Name,Aria Speed,Bard Speed,Bolt Speed,Cad Speed,Dia Speed,Dor Speed,Dove Speed,Eli Speed,Mary Speed,Mel Speed,Monk Speed,Noc Speed,Tempo Speed,Coda Speed,Story Speed,9char Speed,13char Speed,Aria Hard Speed,Bard Hard Speed,Bolt Hard Speed,Cad Hard Speed,Dia Hard Speed,Dor Hard Speed,Dove Hard Speed,Eli Hard Speed,Mary Hard Speed,Mel Hard Speed,Monk Hard Speed,Noc Hard Speed,Tempo Hard Speed,Coda Hard Speed,Aria NR Speed,Bard NR Speed,Bolt NR Speed,Cad NR Speed,Dia NR Speed,Dor NR Speed,Dove NR Speed,Eli NR Speed,Mary NR Speed,Mel NR Speed,Monk NR Speed,Noc NR Speed,Tempo NR Speed,Coda NR Speed,Aria Rando Speed,Bard Rando Speed,Bolt Rando Speed,Cad Rando Speed,Dia Rando Speed,Dor Rando Speed,Dove Rando Speed,Eli Rando Speed,Mary Rando Speed,Mel Rando Speed,Monk Rando Speed,Noc Rando Speed,Tempo Rando Speed,Coda Rando Speed,Aria Phasing Speed,Bard Phasing Speed,Bolt Phasing Speed,Cad Phasing Speed,Dia Phasing Speed,Dor Phasing Speed,Dove Phasing Speed,Eli Phasing Speed,Mary Phasing Speed,Mel Phasing Speed,Monk Phasing Speed,Noc Phasing Speed,Tempo Phasing Speed,Coda Phasing Speed,Aria Mystery Speed,Bard Mystery Speed,Bolt Mystery Speed,Cad Mystery Speed,Dia Mystery Speed,Dor Mystery Speed,Dove Mystery Speed,Eli Mystery Speed,Mary Mystery Speed,Mel Mystery Speed,Monk Mystery Speed,Noc Mystery Speed,Tempo Mystery Speed,Coda Mystery Speed,Aria Score,Bard Score,Bolt Score,Cad Score,Dia Score,Dor Score,Dove Score,Eli Score,Mary Score,Mel Score,Monk Score,Noc Score,Tempo Score,Coda Score,Story Score,9char Score,13char Score,Aria Hard Score,Bard Hard Score,Bolt Hard Score,Cad Hard Score,Dia Hard Score,Dor Hard Score,Dove Hard Score,Eli Hard Score,Mary Hard Score,Mel Hard Score,Monk Hard Score,Noc Hard Score,Tempo Hard Score,Coda Hard Score,Aria NR Score,Bard NR Score,Bolt NR Score,Cad NR Score,Dia NR Score,Dor NR Score,Dove NR Score,Eli NR Score,Mary NR Score,Mel NR Score,Monk NR Score,Noc NR Score,Tempo NR Score,Coda NR Score,Aria Rando Score,Bard Rando Score,Bolt Rando Score,Cad Rando Score,Dia Rando Score,Dor Rando Score,Dove Rando Score,Eli Rando Score,Mary Rando Score,Mel Rando Score,Monk Rando Score,Noc Rando Score,Tempo Rando Score,Coda Rando Score,Aria Phasing Score,Bard Phasing Score,Bolt Phasing Score,Cad Phasing Score,Dia Phasing Score,Dor Phasing Score,Dove Phasing Score,Eli Phasing Score,Mary Phasing Score,Mel Phasing Score,Monk Phasing Score,Noc Phasing Score,Tempo Phasing Score,Coda Phasing Score,Aria Mystery Score,Bard Mystery Score,Bolt Mystery Score,Cad Mystery Score,Dia Mystery Score,Dor Mystery Score,Dove Mystery Score,Eli Mystery Score,Mary Mystery Score,Mel Mystery Score,Monk Mystery Score,Noc Mystery Score,Tempo Mystery Score,Coda Mystery Score,Aria DL,Bard DL,Bolt DL,Cad DL,Dia DL,Dor DL,Dove DL,Eli DL,Mary DL,Mel DL,Monk DL,Noc DL,Tempo DL,Coda DL
hokuhokureiha,11,7,7,6,4,1,6,5,7,3,7,5,2,7,5,5,3,3,3,3,3,3,1,1,2,1,5,2,3,2,0,3,2,1,2,2,1,1,1,2,1,1,2,1,2,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,4,0,347,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4,2,1,1,3,2,2,4,3,3,2,2,2,2,494,1,2,2,1,2,2,1,3,2,1,1,4,1,1,1,2,1,1,1,2,2,1,1,1,1,2,0,1748,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,53,802,0,0,0,0,0,0,17,453,221,0,0,0,0,0,0,0,0,0,0,0,0,7,26,6,46,11,4,11,5,2,8,1,16,3,5
Warachia,2,4,6,9,12,11,7,7,1,8,9,1,4,10,8,7,5,1,2,2,1,2,3,4,1,3,2,3,2,1,0,2,3,2,1,3,2,2,2,1,2,2,1,2,0,1,3,2,1,1,1,1,1,1,1,1,1,1,0,5,5,4,2,3,3,2,1,1,1,2,1,2,9,1,2,2,1,2,2,1,1,1,1,1,2,1,0,7,6,8,3,2,5,4,4,6,9,10,2,2,7,6,4,9,22,2,2,573,81,15,1,1,16,4,1,1377,21,14,8,74,6,677,8,3,3,1,9,14,8,49,2,9,1,424,1,10,318,4,1,2,1,2,2,4,2,6,1,1355,1,1,1,26,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,7,0,0,32,215,0,0,0,0,6,0,2,0,5,17
Morraconda,10,5,3,7,1,7,1,3,2,1,2,9,3,3,3,4,45,28,0,5,0,1,0,0,0,2,0,0,814,0,0,0,0,0,450,1,0,0,0,0,6,7,0,0,0,0,18,0,0,2,0,0,0,0,121,3,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,10,1,0,0,0,0,58,0,0,0,0,12,16,11,6,16,1046,6,5,31,11,4,136,6,32,131,24,46,27,1236,62,0,0,0,235,0,17,0,34,1859,0,12,39,0,0,1397,33,0,0,0,26,30,27,0,0,11,579,2164,0,0,409,0,152,0,94,466,15,0,54,0,0,0,116,0,267,0,1135,0,0,372,0,0,0,89,56,0,0,411,125,0,0,0,0,151,0,0,49,0,48,34,21,134,7,42,23,132,11,77,21,0,12,11
Ocre307,3,3,8,3,21,21,19,16,22,15,11,7,10,5,9,2,17,27,0,0,30,0,0,20,0,0,0,0,1052,17,0,0,46,0,237,0,0,0,0,0,0,0,0,0,0,0,135,0,0,7,0,0,0,0,0,0,0,0,0,0,29,0,21,0,0,40,0,0,7,0,0,0,14,0,186,0,690,0,0,0,0,0,0,0,0,0,0,3,1,7,1,1,1,2,11,1,4,7,1,8,5,1,1,1,37,1,0,1,0,0,34,0,0,0,0,1011,107,34,29,2,0,1,438,0,0,0,0,0,0,0,63,0,0,1,0,3764,229,120,0,0,0,0,0,2643,155,0,70,1,124,2,727,0,1018,0,483,303,0,0,0,28,0,491,0,2,656,71,0,0,0,0,0,2296,39,0,5,31,145,11,0,58,14,0,28,473,57,0,23,13
Abu Yazan,5,18,5,1,20,8,3,9,4,5,1,3,7,8,1,1,2,6,5,4,4,9,2,0,3,6,6,6,1,8,0,6,8,7,4,0,0,0,3,9,0,4,3,0,0,12,4,5,7,0,0,0,0,5,0,5,5,7,0,1,10,2,1,5,1,8,5,2,6,1,2,3,5,3,3,3,2,0,4,0,0,2,7,4,1,8,0,78,3961,23,18,1754,351,47,1797,524,471,1664,20,592,13,49,192,62,45,893,36,523,139,31,0,60,24,253,8,2717,105,3,18,638,28,668,0,28,0,10,13,70,12,139,43,12,38,2070,83,1902,380,0,0,0,48,667,19,1695,10,34,8,1335,29,691,126,29,671,82,11,455,40,464,8,12,29,887,19,35,172,7,0,0,8,450,12,112,24,10,0,0,9,0,0,0,0,0,0,0,42,438,9,7
WasKi115,4,1,1,5,9,3,23,2,5,13,6,2,1,6,10,12,12,0,1,0,2,42,36,0,0,0,117,0,7,3,0,0,1,4,36,19,0,12,0,0,0,0,0,3,0,0,1,8,57,0,17,11,0,3,0,0,106,0,0,0,1,3,23,2,10,32,6,0,30,56,60,10,2,0,1,0,18,0,7,4,0,0,5,0,0,2,0,954,117,77,2352,3942,527,34,545,1130,1496,86,0,4,6,1049,193,112,145,471,83,873,126,28,59,255,156,428,72,2465,27,6,46,79,22,1309,49,0,78,35,47,0,29,242,14,8,281,926,97,2121,0,43,144,0,27,561,241,1341,46,8,59,627,8,935,285,30,390,86,81,559,4,792,43,14,63,448,57,457,0,15,137,0,0,276,334,1853,3,4,71,1,7,75,9,61,5,13,57,16,27,696,2,10
Spootaloo,13,11,10,12,5,6,4,10,9,2,4,8,5,2,6,3,7,0,0,0,0,0,0,0,0,0,0,0,905,0,2,0,0,0,13,0,0,0,0,5,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,4,0,0,0,0,0,0,0,0,0,2,18,2845,15,15,23,538,3,1778,927,3,21,0,1203,1,688,166,149,0,0,0,0,0,0,0,0,0,0,0,149,0,1,0,0,0,1128,0,0,0,0,25,0,0,0,0,3,0,0,85,0,0,0,0,0,0,0,0,0,0,15,0,415,148,0,0,50,0,0,0,0,0,0,0,13,0,0,34,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Siveure,12,20,20,15,7,10,26,4,21,11,8,11,12,20,2,8,4,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,26,0,0,12,31,9,35,8,6,7,16,0,15,5,6,19,0,0,0,0,7,0,0,0,0,0,17,0,29,0,0,5,5,4,9,12,10,10,9,12,8,3,7,7,14,4,9,5,0,0,0,0,0,0,0,0,0,0,97,3974,95,104,80,0,0,985,0,0,0,0,65,0,0,711,0,19,205,2296,0,0,0,0,0,0,0,0,0,1641,0,39,44,1703,24,1588,168,24,230,91,325,499,36,553,26,50,0,2819,0,320,0,0,0,0,0,269,0,127,60,65,62,21,65,217,0,36,9,63,10,48,6,100,13,27
Tufwfo,18,16,2,11,3,18,9,18,18,18,16,10,18,22,20,9,8,10,16,13,14,13,15,15,13,12,10,12,11,18,0,12,21,10,11,13,9,14,12,8,14,16,9,9,0,18,20,19,17,11,12,16,13,12,4,8,17,9,0,13,7,15,12,14,16,4,21,18,11,10,20,7,17,4,4,18,9,12,11,17,5,10,18,8,11,13,0,16,11,1,22,20,14,11,16,5,19,23,19,20,44,7,13,14,44,1130,30,941,144,44,61,44,26,270,16,1615,73,24,24,444,25,1653,98,10,75,21,14,37,21,41,22,0,48,2135,72,2115,347,51,129,112,13,471,11,1873,40,0,42,1221,34,1212,188,18,486,196,27,242,28,591,53,30,18,1034,36,104,80,13,135,131,15,446,15,264,22,0,29,18,2,5,15,12,4,15,7,3,7,4,19,21
RavioLinguini,7,12,13,8,14,2,2,11,8,4,3,6,6,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,7,0,24,0,0,0,0,0,0,0,0,0,0,0,50,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,623,4228,179,3624,4537,879,4536,1070,566,1228,60,1061,1937,124,671,221,114,0,1006,263,0,0,0,0,0,0,0,0,3722,0,0,0,377,0,674,0,27,0,0,0,0,0,0,0,0,0,2239,0,2232,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,55,0,0,64,0,1274,0,0,0,0,0,0,0,0,0,0,0,0,55,513,58,0,0,0,0,35,0,164,15,0,0,0
