Name,Aria Speed,Bard Speed,Bolt Speed,Cad Speed,Dia Speed,Dor Speed,Dove Speed,Eli Speed,Mary Speed,Mel Speed,Monk Speed,Noc Speed,Tempo Speed,Coda Speed,Story Speed,9char Speed,13char Speed,Aria Hard Speed,Bard Hard Speed,Bolt Hard Speed,Cad Hard Speed,Dia Hard Speed,Dor Hard Speed,Dove Hard Speed,Eli Hard Speed,Mary Hard Speed,Mel Hard Speed,Monk Hard Speed,Noc Hard Speed,Tempo Hard Speed,Coda Hard Speed,Aria NR Speed,Bard NR Speed,Bolt NR Speed,Cad NR Speed,Dia NR Speed,Dor NR Speed,Dove NR Speed,Eli NR Speed,Mary NR Speed,Mel NR Speed,Monk NR Speed,Noc NR Speed,Tempo NR Speed,Coda NR Speed,Aria Rando Speed,Bard Rando Speed,Bolt Rando Speed,Cad Rando Speed,Dia Rando Speed,Dor Rando Speed,Dove Rando Speed,Eli Rando Speed,Mary Rando Speed,Mel Rando Speed,Monk Rando Speed,Noc Rando Speed,Tempo Rando Speed,Coda Rando Speed,Aria Phasing Speed,Bard Phasing Speed,Bolt Phasing Speed,Cad Phasing Speed,Dia Phasing Speed,Dor Phasing Speed,Dove Phasing Speed,Eli Phasing Speed,Mary Phasing Speed,Mel Phasing Speed,Monk Phasing Speed,Noc Phasing Speed,Tempo Phasing Speed,Coda Phasing Speed,Aria Mystery Speed,Bard Mystery Speed,Bolt Mystery Speed,Cad Mystery Speed,Dia Mystery Speed,Dor Mystery Speed,Dove Mystery Speed,Eli Mystery Speed,Mary Mystery Speed,Mel Mystery Speed,Monk Mystery Speed,Noc Mystery Speed,Tempo Mystery Speed,Coda Mystery Speed,Aria Score,Bard Score,Bolt Score,Cad Score,Dia Score,Dor Score,Dove Score,Eli Score,Mary Score,Mel Score,Monk Score,Noc Score,Tempo Score,Coda Score,Story Score,9char Score,13char Score,Aria Hard Score,Bard Hard Score,Bolt Hard Score,Cad Hard Score,Dia Hard Score,Dor Hard Score,Dove Hard Score,Eli Hard Score,Mary Hard Score,Mel Hard Score,Monk Hard Score,Noc Hard Score,Tempo Hard Score,Coda Hard Score,Aria NR Score,Bard NR Score,Bolt NR Score,Cad NR Score,Dia NR Score,Dor NR Score,Dove NR Score,Eli NR Score,Mary NR Score,Mel NR Score,Monk NR Score,Noc NR Score,Tempo NR Score,Coda NR Score,Aria Rando Score,Bard Rando Score,Bolt Rando Score,Cad Rando Score,Dia Rando Score,Dor Rando Score,Dove Rando Score,Eli Rando Score,Mary Rando Score,Mel Rando Score,Monk Rando Score,Noc Rando Score,Tempo Rando Score,Coda Rando Score,Aria Phasing Score,Bard Phasing Score,Bolt Phasing Score,Cad Phasing Score,Dia Phasing Score,Dor Phasing Score,Dove Phasing Score,Eli Phasing Score,Mary Phasing Score,Mel Phasing Score,Monk Phasing Score,Noc Phasing Score,Tempo Phasing Score,Coda Phasing Score,Aria Mystery Score,Bard Mystery Score,Bolt Mystery Score,Cad Mystery Score,Dia Mystery Score,Dor Mystery Score,Dove Mystery Score,Eli Mystery Score,Mary Mystery Score,Mel Mystery Score,Monk Mystery Score,Noc Mystery Score,Tempo Mystery Score,Coda Mystery Score,Aria DL,Bard DL,Bolt DL,Cad DL,Dia DL,Dor DL,Dove DL,Eli DL,Mary DL,Mel DL,Monk DL,Noc DL,Tempo DL,Coda DL
hokuhokureiha,11,7,7,6,4,1,6,5,7,3,7,5,2,7,5,5,3,3,3,3,3,3,1,1,2,1,5,2,3,2,0,3,2,1,2,2,1,1,1,2,1,1,2,1,2,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,4,0,348,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4,2,1,1,3,2,2,4,3,3,2,2,2,2,496,1,2,2,1,2,2,1,3,2,1,1,4,1,1,1,2,1,1,1,2,2,1,1,1,1,2,0,1755,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,53,803,0,0,0,0,0,0,17,453,222,0,0,0,0,0,0,0,0,0,0,0,0,3,26,6,20,11,4,11,5,2,9,1,16,3,5
Warachia,2,4,6,9,12,11,7,7,1,8,9,1,4,10,8,7,5,1,2,2,1,2,3,4,1,3,2,3,2,1,0,2,3,2,1,3,2,2,2,1,2,2,1,2,0,1,3,2,1,1,1,1,1,1,1,1,1,1,0,5,5,4,2,3,3,2,1,1,1,2,1,2,9,1,2,2,1,2,2,1,1,1,1,1,2,1,0,7,6,8,3,2,5,4,4,6,9,10,2,2,7,6,4,9,22,2,2,574,81,15,1,1,16,4,1,1382,21,14,8,74,6,678,8,3,3,1,9,14,8,49,2,9,1,424,1,10,319,4,1,2,1,2,2,4,2,6,1,1361,1,1,1,26,1,2,1,1,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,7,0,0,32,219,0,0,0,0,6,0,2,0,5,17
Morraconda,10,5,3,7,1,7,1,3,2,1,2,9,3,3,3,4,45,28,0,5,0,1,0,0,0,2,0,0,814,0,0,0,0,0,450,1,0,0,0,0,6,7,0,0,0,0,18,0,0,2,0,0,0,0,121,3,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,10,1,0,0,0,0,58,0,0,0,0,12,16,11,6,16,1048,6,5,31,11,4,136,6,32,131,24,46,27,1237,62,0,0,0,236,0,17,0,35,1866,0,12,39,0,0,1402,33,0,0,0,26,30,27,0,0,11,581,2172,0,0,410,0,153,0,94,467,15,0,54,0,0,0,116,0,267,0,1137,0,0,372,0,0,0,89,56,0,0,411,126,0,0,0,0,151,0,0,49,0,48,34,21,137,7,42,23,132,11,77,21,0,12,11
Ocre307,3,3,8,3,21,21,19,16,22,15,11,7,10,5,9,2,17,27,0,0,30,0,0,20,0,0,0,0,1052,17,0,0,46,0,237,0,0,0,0,0,0,0,0,0,0,0,135,0,0,7,0,0,0,0,0,0,0,0,0,0,29,0,21,0,0,40,0,0,7,0,0,0,14,0,186,0,690,0,0,0,0,0,0,0,0,0,0,3,1,7,1,1,1,2,11,1,4,7,1,8,5,1,1,1,37,1,0,1,0,0,34,0,0,0,0,1015,108,34,29,2,0,1,438,0,0,0,0,0,0,0,63,0,0,1,0,3768,230,120,0,0,0,0,0,2649,155,0,70,1,124,2,727,0,1019,0,483,303,0,0,0,28,0,493,0,2,658,71,0,0,0,0,0,2298,39,0,6,31,145,11,0,58,14,0,28,473,57,0,23,13
Abu Yazan,5,18,5,1,20,8,3,9,4,5,1,3,7,8,1,1,2,6,5,4,4,9,2,0,3,6,6,6,1,8,0,6,8,7,4,0,0,0,3,9,0,4,3,0,0,12,4,5,7,0,0,0,0,5,0,5,5,8,0,1,10,2,1,5,1,8,5,2,6,1,2,3,5,3,3,3,2,0,4,0,0,2,7,4,1,8,0,78,3972,23,18,1754,351,47,1803,524,473,1668,20,593,13,49,192,62,45,894,36,524,139,31,0,60,24,253,8,2728,106,3,18,640,28,669,0,28,0,10,13,70,12,139,43,12,38,2077,83,1906,381,0,0,0,48,668,19,1698,10,34,8,1341,29,692,126,29,672,82,11,454,40,464,8,12,29,893,19,35,173,7,0,0,8,451,12,112,24,10,0,0,9,0,0,0,0,0,0,0,42,439,9,7
WasKi115,4,1,1,5,9,3,23,2,5,13,6,2,1,6,10,12,12,0,1,0,2,42,36,0,0,0,117,0,7,3,0,0,1,4,36,19,0,12,0,0,0,0,0,3,0,0,1,8,57,0,17,11,0,3,0,0,107,0,0,0,1,3,23,2,10,32,6,0,30,56,60,10,2,0,1,0,18,0,7,4,0,0,5,0,0,2,0,956,117,78,2354,3947,527,34,546,1130,1501,86,0,4,6,1052,193,113,144,473,83,875,126,28,60,255,158,428,73,2475,27,6,45,79,22,1313,49,0,78,35,47,0,29,242,14,8,282,929,97,2125,0,43,145,0,27,562,241,1343,46,8,59,631,8,936,285,30,391,86,81,558,4,792,43,14,63,450,57,457,0,15,137,0,0,277,337,1855,3,4,71,1,7,77,9,61,5,13,57,17,27,698,2,10
Spootaloo,13,11,10,12,5,6,4,10,9,2,4,8,5,2,6,3,7,0,0,0,0,0,0,0,0,0,0,0,905,0,2,0,0,0,13,0,0,0,0,5,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,4,0,0,0,0,0,0,0,0,0,2,18,2853,15,15,23,538,3,1783,927,3,21,0,1204,1,690,166,150,0,0,0,0,0,0,0,0,0,0,0,149,0,1,0,0,0,1132,0,0,0,0,25,0,0,0,0,3,0,0,85,0,0,0,0,0,0,0,0,0,0,15,0,418,148,0,0,50,0,0,0,0,0,0,0,13,0,0,34,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Siveure,12,20,20,15,7,10,26,4,21,11,8,11,12,20,2,8,4,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,26,0,0,12,31,9,35,8,6,7,16,0,15,5,6,19,0,0,0,0,7,0,0,0,0,0,17,0,29,0,0,5,5,4,9,12,10,10,9,12,8,3,7,7,14,4,9,5,0,0,0,0,0,0,0,0,0,0,98,3983,96,104,79,0,0,989,0,0,0,0,65,0,0,714,0,19,205,2305,0,0,0,0,0,0,0,0,0,1644,0,39,44,1710,24,1590,168,24,232,91,325,498,36,553,26,50,0,2827,0,320,0,0,0,0,0,270,0,127,60,65,62,21,65,221,0,36,9,63,10,49,6,101,13,27
Tufwfo,18,16,2,11,3,18,9,18,18,18,16,10,18,22,20,9,8,10,16,13,14,13,15,15,13,12,10,12,11,18,0,12,21,10,11,13,9,14,12,8,14,16,9,9,0,18,20,19,17,11,12,16,13,12,4,8,17,9,0,13,7,15,12,14,16,4,21,18,11,10,20,7,17,4,4,18,9,12,11,17,5,11,18,8,11,13,0,16,11,1,22,20,14,11,16,5,19,23,19,20,44,7,13,14,44,1131,30,943,144,44,62,44,26,270,16,1621,73,24,24,445,25,1660,98,10,75,21,14,37,21,41,22,0,48,2142,72,2119,348,51,130,112,13,472,11,1876,40,0,42,1227,34,1213,188,18,487,196,27,242,28,591,53,30,18,1040,36,104,81,13,135,132,15,447,15,264,22,0,29,18,2,5,15,12,4,15,7,3,7,4,19,21
RavioLinguini,7,12,13,8,14,2,2,11,8,4,3,6,6,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,7,0,24,0,0,0,0,0,0,0,0,0,0,0,50,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,624,4238,179,3627,4543,880,4542,1073,566,1230,60,1061,1940,125,674,221,115,0,1007,263,0,0,0,0,0,0,0,0,3731,0,0,0,378,0,675,0,27,0,0,0,0,0,0,0,0,0,2248,0,2236,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,55,0,0,64,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,55,516,58,0,0,0,0,35,0,164,15,0,0,0
